Original Image Patch,Binary Mask Image Patch
C:/Users/User/Desktop/Edges/patched_images\DJI_0194_original_patch155.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0194_binarymask_patch155.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0081_original_patch63.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0081_binarymask_patch63.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0443_original_patch79.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0443_binarymask_patch79.png
C:/Users/User/Desktop/Edges/patched_images\0V5A4035_original_patch371.png,C:/Users/User/Desktop/Edges/patched_images\0V5A4035_binarymask_patch371.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0183_original_patch71.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0183_binarymask_patch71.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0194_original_patch59.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0194_binarymask_patch59.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5065_original_patch169.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5065_binarymask_patch169.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0234_original_patch62.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0234_binarymask_patch62.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0413_original_patch226.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0413_binarymask_patch226.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0081_original_patch105.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0081_binarymask_patch105.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0052_original_patch83.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0052_binarymask_patch83.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0491_original_patch112.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0491_binarymask_patch112.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0226_original_patch278.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0226_binarymask_patch278.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0275_original_patch279.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0275_binarymask_patch279.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0011_original_patch171.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0011_binarymask_patch171.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0022_original_patch166.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0022_binarymask_patch166.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0404_original_patch79.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0404_binarymask_patch79.png
C:/Users/User/Desktop/Edges/patched_images\0V5A3736_original_patch517.png,C:/Users/User/Desktop/Edges/patched_images\0V5A3736_binarymask_patch517.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0194_original_patch264.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0194_binarymask_patch264.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0234_original_patch295.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0234_binarymask_patch295.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0234_original_patch86.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0234_binarymask_patch86.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0022_original_patch101.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0022_binarymask_patch101.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0081_original_patch194.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0081_binarymask_patch194.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0234_original_patch294.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0234_binarymask_patch294.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5065_original_patch20.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5065_binarymask_patch20.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0489_original_patch54.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0489_binarymask_patch54.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0107_original_patch251.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0107_binarymask_patch251.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0234_original_patch9.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0234_binarymask_patch9.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5065_original_patch97.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5065_binarymask_patch97.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0489_original_patch99.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0489_binarymask_patch99.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0050_original_patch247.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0050_binarymask_patch247.png
C:/Users/User/Desktop/Edges/patched_images\TRRW7180_original_patch9.png,C:/Users/User/Desktop/Edges/patched_images\TRRW7180_binarymask_patch9.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0067_original_patch192.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0067_binarymask_patch192.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0194_original_patch35.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0194_binarymask_patch35.png
C:/Users/User/Desktop/Edges/patched_images\0V5A3736_original_patch196.png,C:/Users/User/Desktop/Edges/patched_images\0V5A3736_binarymask_patch196.png
C:/Users/User/Desktop/Edges/patched_images\0V5A3736_original_patch416.png,C:/Users/User/Desktop/Edges/patched_images\0V5A3736_binarymask_patch416.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0144_original_patch111.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0144_binarymask_patch111.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5082_original_patch239.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5082_binarymask_patch239.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0076_original_patch175.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0076_binarymask_patch175.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0275_original_patch196.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0275_binarymask_patch196.png
C:/Users/User/Desktop/Edges/patched_images\DSC00659_original_patch168.png,C:/Users/User/Desktop/Edges/patched_images\DSC00659_binarymask_patch168.png
C:/Users/User/Desktop/Edges/patched_images\0V5A4035_original_patch64.png,C:/Users/User/Desktop/Edges/patched_images\0V5A4035_binarymask_patch64.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5049_original_patch75.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5049_binarymask_patch75.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0226_original_patch118.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0226_binarymask_patch118.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0076_original_patch182.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0076_binarymask_patch182.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0065_original_patch98.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0065_binarymask_patch98.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0115_original_patch11.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0115_binarymask_patch11.png
C:/Users/User/Desktop/Edges/patched_images\0V5A3666_original_patch53.png,C:/Users/User/Desktop/Edges/patched_images\0V5A3666_binarymask_patch53.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0225_original_patch104.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0225_binarymask_patch104.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0144_original_patch112.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0144_binarymask_patch112.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5049_original_patch26.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5049_binarymask_patch26.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0997_original_patch158.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0997_binarymask_patch158.png
C:/Users/User/Desktop/Edges/patched_images\DSC00659_original_patch74.png,C:/Users/User/Desktop/Edges/patched_images\DSC00659_binarymask_patch74.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5082_original_patch30.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5082_binarymask_patch30.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0302_original_patch172.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0302_binarymask_patch172.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0963_original_patch101.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0963_binarymask_patch101.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0194_original_patch289.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0194_binarymask_patch289.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0076_original_patch169.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0076_binarymask_patch169.png
C:/Users/User/Desktop/Edges/patched_images\0V5A4035_original_patch481.png,C:/Users/User/Desktop/Edges/patched_images\0V5A4035_binarymask_patch481.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0040_original_patch1.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0040_binarymask_patch1.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0226_original_patch279.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0226_binarymask_patch279.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0135_original_patch25.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0135_binarymask_patch25.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5065_original_patch69.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5065_binarymask_patch69.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0059_original_patch157.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0059_binarymask_patch157.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0067_original_patch209.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0067_binarymask_patch209.png
C:/Users/User/Desktop/Edges/patched_images\0V5A4035_original_patch620.png,C:/Users/User/Desktop/Edges/patched_images\0V5A4035_binarymask_patch620.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0135_original_patch87.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0135_binarymask_patch87.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0234_original_patch7.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0234_binarymask_patch7.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0051_original_patch179.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0051_binarymask_patch179.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0022_original_patch125.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0022_binarymask_patch125.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5082_original_patch248.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5082_binarymask_patch248.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0183_original_patch111.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0183_binarymask_patch111.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5049_original_patch48.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5049_binarymask_patch48.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0138_original_patch51.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0138_binarymask_patch51.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0022_original_patch100.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0022_binarymask_patch100.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0225_original_patch45.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0225_binarymask_patch45.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0051_original_patch173.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0051_binarymask_patch173.png
C:/Users/User/Desktop/Edges/patched_images\0V5A3666_original_patch468.png,C:/Users/User/Desktop/Edges/patched_images\0V5A3666_binarymask_patch468.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5065_original_patch121.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5065_binarymask_patch121.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0065_original_patch78.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0065_binarymask_patch78.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0997_original_patch136.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0997_binarymask_patch136.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0997_original_patch103.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0997_binarymask_patch103.png
C:/Users/User/Desktop/Edges/patched_images\0V5A3666_original_patch267.png,C:/Users/User/Desktop/Edges/patched_images\0V5A3666_binarymask_patch267.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0796_original_patch144.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0796_binarymask_patch144.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0796_original_patch69.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0796_binarymask_patch69.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0194_original_patch67.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0194_binarymask_patch67.png
C:/Users/User/Desktop/Edges/patched_images\0V5A4035_original_patch634.png,C:/Users/User/Desktop/Edges/patched_images\0V5A4035_binarymask_patch634.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0413_original_patch64.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0413_binarymask_patch64.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0552_original_patch110.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0552_binarymask_patch110.png
C:/Users/User/Desktop/Edges/patched_images\DSC_5049_original_patch122.png,C:/Users/User/Desktop/Edges/patched_images\DSC_5049_binarymask_patch122.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0076_original_patch27.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0076_binarymask_patch27.png
C:/Users/User/Desktop/Edges/patched_images\0V5A3666_original_patch192.png,C:/Users/User/Desktop/Edges/patched_images\0V5A3666_binarymask_patch192.png
C:/Users/User/Desktop/Edges/patched_images\DJI_0443_original_patch4.png,C:/Users/User/Desktop/Edges/patched_images\DJI_0443_binarymask_patch4.png
C:/Users/User/Desktop/Edges/patched_images\DSC00888_original_patch26.png,C:/Users/User/Desktop/Edges/patched_images\DSC00888_binarymask_patch26.png
